Waypoint	Phi	G	Speed
Brest	48.3777°N	4.4271°W	5
WP	48.3391°N	4.5655°W	5
WP	48.2818°N	4.6348°W	5
WP	48.0400°N	4,7839°W	5
WP	43.5624°N	8.3312°W	5
WP	43.4999°N	8.3496°W	5
La Corogne	43.3599°N	8.3640°W	5
WP	43.3916°N	8.3888°W	5
WP	43.3659°N	8.8433°W	5
WP	43.1669°N	9.2196°W	5
WP	43.053296842834115°N	9.365567763010107°W	5
WP	42.8853394264346°N	9.285900918445622°W	5
WP	42.234856362362684°N	8.891840998701365°W	5
Vigo	42.214917106149606°N	8.827424908896667°W	5
WP	32.7285313708074°N	16.654364371519495°W	5.5
WP	32.63421139412777°N	16.840854758045676°W	5.5
Funchal (Madeire)	32.643175738096026°N	16.90350323617701°W	5.5
WP	28.539792613312716°N	16.110128745634634°W	5.5
(Canarie)	28.452699345573574°N	16.216560233018974°W	5.5
(Cap vert)	16.20695989015224°N	23.98917460791529°W	5.5
WP	14.385761451954227°N	60.867964865810066°W	5.5
WP	14.448888198227401°N	61.07144307412483°W	5.5
WP	14.527326048186216°N	61.111390258865704°W	5.5
Fort de France (Martinique)	14.580092194092654°N	61.03444874899787°W	5.5
WP	14.60644170638685°N	61.1253260250976°W	5.5
WP	14.831201858019188°N	61.25123218871204°W	5.5
WP	15.245306959772229°N	61.24117959036914°W	5.5
Domique	15.467725867235144°N	61.22724101372679°W	5.5
Pointe à pitre (Guadeloupe)	 16.17908°N	61.53072°W	5.5
WP	16.20669740978516°N	61.12423246264562°W	5.5
WP	38.51687698570253°N	28.61871593732054°W	5.5
Horta (Acores)	38.53565062720731°N	28.61203576984863°W	5.5
WP	38.75736912938058°N	28.32195774862101°W	5.5
La Rochelle	46.14311540970563°N	1.1776015577950367°W	5.5
